ANT1,16.57,14.86,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,11.12,-0.17,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-10.55,1.38,180.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,12.15,-1.93,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,11.16,-1.09,180.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,9.45,1.31,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,8.62,1.28,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,2.16,2.56,90.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C15,5.60,1.53,270.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,8.35,2.55,180.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,2.27,-0.28,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,1.15,0.22,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-6.12,-2.67,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,15.83,0.43,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-4.73,-9.60,90.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,4.57,-10.14,90.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C21,3.14,-9.08,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C22,16.05,6.47,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,4.67,-11.36,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,3.82,-11.39,90.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,3.70,-13.84,0.00,22uF,NORDIC_NRF_3_RESC0201_L
C27,-3.14,-1.83,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,9.91,-11.14,270.00,1uF,GRM011R60J152KE01L_1_0201
C3,13.82,6.45,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-12.01,-12.50,270.00,1uF,GRM011R60J152KE01L_1_0201
C31,0.32,-12.67,270.00,1uF,GRM011R60J152KE01L_1_0201
C32,-7.61,5.15,90.00,1uF,GRM011R60J152KE01L_1_0201
C33,3.73,-12.92,180.00,22uF,NORDIC_NRF_3_RESC0201_L
C34,-0.63,-7.34,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C37,-4.33,-2.68,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-4.51,-8.19,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-5.51,-8.19,270.00,10uF,NORDIC_NRF_3_RESC0201_L
C4,14.84,6.45,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-6.47,10.64,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C43,-4.34,9.28,270.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C5,1.89,1.41,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,2.02,-7.48,270.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C7,7.00,-9.22,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,10.75,-8.48,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,11.70,-3.57,90.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-18.06,-13.60,0.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-1.93,5.84,90.00,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-18.97,-9.88,180.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-9.76,-9.94,0.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-10.84,3.69,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C10,-12.06,-7.92,90.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C11,-13.02,-8.17,90.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C12,-14.36,-8.34,90.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C2,-10.03,5.20,90.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C5,-10.87,-2.13,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-10.54,-3.98,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C7,-10.55,-4.82,179.30,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C8,-10.33,-5.91,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C9,-10.58,-6.80,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
IC1,-2.94,-4.62,180.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,-5.62,2.85,0.00,DRV2605YZFR_DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,0.06,-9.49,0.00,BMA423_BMA423,BMA423_BMA423
IC9,7.04,-11.82,0.00,RT6160AWSC_RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400_503480-2400,503480-2400_5034802400
J2,19.45,-10.09,0.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P_KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,14.50,7.75,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,5.53,5.47,90.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,7.98,5.53,90.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-15.94,10.65,180.00,ESP32_C6_LIBRARY_2_744043680IND_4828-WE-TPC_WRE,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,5.88,-15.31,180.00,MLP2016SR47MT0S1_FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,-9.53,-0.46,90.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-9.64,7.06,0.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R1,5.50,-12.12,90.00,0,ERA-1AEB3401C_0201
R17,-2.44,-11.89,180.00,3K3,ERA-1AEB3401C_0201
R18,-2.44,-10.87,0.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,-9.76,8.88,0.00,0.47,CPF0201D7K68C1_0201
R1_PWR_EPD,-6.84,-0.71,180.00,10K,CPF0201D7K68C1_0201
R1_USB,0.82,10.27,90.00,5K1,CPF0201D7K68C1_0201
R2,5.50,-12.62,90.00,0,ERA-1AEB3401C_0201
R2_EP_DR,-11.74,6.57,0.00,10K,CPF0201D7K68C1_0201
R2_USB,-1.48,10.45,90.00,5K1,CPF0201D7K68C1_0201
R3,-2.23,-9.79,0.00,0,ERA-1AEB3401C_0201
R5,-13.20,-12.56,270.00,10k,CPF0201D7K68C1_0201
R7,8.88,-13.49,0.00,10k,CPF0201D7K68C1_0201
R8,-2.31,-13.67,180.00,10k,CPF0201D7K68C1_0201
R9,-1.20,-3.92,270.00,10K,ERA-1AEB3401C_0201
R_TYPE_SEL,-8.97,8.88,180.00,2.2,CPF0201D7K68C1_0201
SJ1,-9.66,10.87,180.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.28,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,12.86,-8.28,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,16.98,2.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,7.79,15.41,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-11.27,13.21,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-3.25,1.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-5.59,6.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,20.91,-4.31,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-7.27,-12.96,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,0.34,-4.33,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,17.62,-4.31,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,15.15,-4.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,-14.47,15.39,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-6.81,-6.89,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-4.89,-14.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U$1,6.89,-2.91,0.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U1,-7.45,-4.44,180.00,ESP32_C6_LIBRARY_MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,15.23,-1.30,0.00,32MHZ,NORDIC_NRF_BT-XTAL_2016_N
X2,-0.82,1.13,90.00,ABSO7,XTAL_ABS07-32.768KHZ-T
